PERIODO,NUM_ORDEN,DEPARTAMENTO,DIVISION,INSPECTOR,SUPERVISOR,CUIT,RAZON_SOCIAL,FECHA_INICIO,FECHA_DEVOL_TRANS
1 TRIM 2015,4,EXTERNA B,V,SICILIANO MARIA ROSA,CAPUTO ROMINA,30708826568,4 M SOCIEDAD DE RESPONSABILIDAD LTDA,03/03/2015,
2 TRIM 2015,3,EXTERNA B,V,SICILIANO MARIA ROSA,CAPUTO ROMINA,30708826568,4 M SOCIEDAD DE RESPONSABILIDAD LTDA,N/L,
3 TRIM 2015,4,EXTERNA B,V,SICILIANO MARIA ROSA,CAPUTO ROMINA,30708826568,4 M SOCIEDAD DE RESPONSABILIDAD LTDA,N/L,
1 TRIM 2014,4,EXTERNA B,VI,NALBANDIAN M. CRISTINA,BOTANA ANTONIO,30708857129,5CA SA,13/01/2014,
1 TRIM 2015,5,EXTERNA A,II,PERALTA MARCELA,ALVAREZ MARTIN,30708449853,5TH ESSENCE S.A,09/02/2015,
2 TRIM 2015,4,EXTERNA A,II,PERALTA MARCELA,ALVAREZ MARTIN,30708449853,5TH ESSENCE S.A,09/02/2015,
3 TRIM 2015,5,EXTERNA A,II,PERALTA MARCELA,ALVAREZ MARTIN,30708449853,5TH ESSENCE S.A,09/02/2015,
1 TRIM 2014,5,EXTERNA C,VII,COMI MARIO JORGE,MARTINEZ MARIANA,30522501324,A J MENDIZABAL Y CIA SACYAF,11/09/2013,
1 TRIM 2015,6,EXTERNA C,VII,COMI MARIO JORGE,MARTINEZ MARIANA,30522501324,A J MENDIZABAL Y CIA SACYAF,11/09/2013,
2 TRIM 2014,3,EXTERNA C,VII,COMI MARIO JORGE,MARTINEZ MARIANA,30522501324,A J MENDIZABAL Y CIA SACYAF,11/09/2013,
2 TRIM 2015,5,EXTERNA C,VII,COMI MARIO JORGE,MARTINEZ MARIANA,30522501324,A J MENDIZABAL Y CIA SACYAF,11/09/2013,
3 TRIM 2014,3,EXTERNA C,VII,COMI MARIO JORGE,MARTINEZ MARIANA,30522501324,A J MENDIZABAL Y CIA SACYAF,11/09/2013,
4 TRIM 2014,3,EXTERNA C,VII,COMI MARIO JORGE,MARTINEZ MARIANA,30522501324,A J MENDIZABAL Y CIA SACYAF,11/09/2013,
1 TRIM 2015,7,EXTERNA C,VII,BERNALDO DE QUIROS ALVARO,BREPPE MARISA,30647312523,A M SEGURIDAD SRL,25/09/2014,
2 TRIM 2015,6,EXTERNA C,VII,BERNALDO DE QUIROS ALVARO,BREPPE MARISA,30647312523,A M SEGURIDAD SRL,25/09/2014,
3 TRIM 2014,4,EXTERNA C,VII,BERNALDO DE QUIROS ALVARO,BREPPE MARISA,30647312523,A M SEGURIDAD SRL,25/09/2014,
3 TRIM 2015,6,EXTERNA C,VII,BERNALDO DE QUIROS ALVARO,BREPPE MARISA,30647312523,A M SEGURIDAD SRL,25/09/2014,
4 TRIM 2014,4,EXTERNA C,VII,BERNALDO DE QUIROS ALVARO,BREPPE MARISA,30647312523,A M SEGURIDAD SRL,25/09/2014,
2 TRIM 2015,7,EXTERNA C,VII,CODERCH ROCHE TATIANA,MARTINEZ MARIANA,30707713212,A NOVO ARGENTINA SA,28/04/2015,
3 TRIM 2015,7,EXTERNA C,VII,CODERCH ROCHE TATIANA,MARTINEZ MARIANA,30707713212,A NOVO ARGENTINA SA,28/04/2015,
1 TRIM 2014,6,EXTERNA B,VI,RUA CLAUDIA,BOTANA ANTONIO,30687722007,A RUSSONIELLO SA,23/05/2014,
1 TRIM 2015,8,EXTERNA B,VI,RUA CLAUDIA,BOTANA ANTONIO,30687722007,A RUSSONIELLO SA,23/12/2014,
2 TRIM 2014,4,EXTERNA B,VI,RUA CLAUDIA,BOTANA ANTONIO,30687722007,A RUSSONIELLO SA,23/05/2014,
2 TRIM 2015,8,EXTERNA B,VI,RUA CLAUDIA,BOTANA ANTONIO,30687722007,A RUSSONIELLO SA,23/12/2014,23/12/2014
3 TRIM 2015,8,EXTERNA B,VI,RUA CLAUDIA,BOTANA ANTONIO,30687722007,A RUSSONIELLO SA,30/12/2014,22/05/2014
2 TRIM 2015,9,EXTERNA D,I0,VALDES DAMIAN JAVIER,PEREZ PATRICIA,30612677499,A Y M DESPOSITO SRL,30/03/2015,
3 TRIM 2015,9,EXTERNA D,I0,VALDES DAMIAN JAVIER,PEREZ PATRICIA,30612677499,A Y M DESPOSITO SRL,30/03/2015,
2 TRIM 2014,5,CONCURSOS Y QUIEBRAS,,"FERNANDEZ VAQUERA, B","POLICANO, ANTONIO",30708835842,A Y S SERVICIOS INTEGRALES SA,30/07/2014,
1 TRIM 2014,8,EXTERNA B,V,ZAPATA  MARIA CECILIA,CAPUTO ROMINA,30697305994,A ZAEL SA,01/02/2013,
1 TRIM 2015,10,EXTERNA D,SELLOS,PEDRO ROMINA,ALFARO NADIA,30702276957,A ZAEL SA,20/11/2014,
2 TRIM 2015,10,EXTERNA D,SELLOS,PEDRO ROMINA,ALFARO NADIA,30702276957,A ZAEL SA,20/11/2014,
3 TRIM 2015,11,EXTERNA D,SELLOS,PEDRO ROMINA,ALFARO NADIA,30702276957,A ZAEL SA,20/11/2014,
4 TRIM 2014,6,EXTERNA D,SELLOS,PEDRO ROMINA,ALFARO NADIA,30702276957,A ZAEL SA,20/11/2014,
3 TRIM 2014,6,EXTERNA B,V,ZAPATA  MARIA CECILIA,CAPUTO ROMINA,30697305994,ABACK SA,01/02/2013,10/09/2014
1 TRIM 2015,11,EXTERNA E,I,IBARRA CARLOS,FERNANDEZ JUAN,20127020303,ABADI RUBEN HECTOR,21/10/2014,
2 TRIM 2015,11,EXTERNA E,I,IBARRA CARLOS,FERNANDEZ JUAN,20127020303,ABADI RUBEN HECTOR,21/10/2014,
3 TRIM 2014,7,EXTERNA E,I,IBARRA CARLOS,FERNANDEZ JUAN,20127020303,ABADI RUBEN HECTOR,21/10/2014,
3 TRIM 2015,12,EXTERNA E,I,IBARRA CARLOS,FERNANDEZ JUAN,20127020303,ABADI RUBEN HECTOR,29/10/2014,
4 TRIM 2014,7,EXTERNA E,I,IBARRA CARLOS,FERNANDEZ JUAN,20127020303,ABADI RUBEN HECTOR,21/10/2014,
1 TRIM 2014,9,EXTERNA A,III,ABUIN VERONICA,PETRELLA ANTONIO,20129756692,ABAS VICTOR OSVALDO,03/06/2013,
2 TRIM 2014,7,EXTERNA A,III,ABUIN VERONICA,PETRELLA ANTONIO,20129756692,ABAS VICTOR OSVALDO,03/06/2013,
3 TRIM 2015,13,EXTERNA C,VIII,ROJAS LORENA,GONIONDZKY SILVINA,30709788880,ABASTO NUEVO SA,22/09/2015,
1 TRIM 2015,12,EXTERNA D,SELLOS,RIPOLI JORGE,BEITONE VANESA,30500846301,ABBOTT LABORATORIES ARG SA,14/01/2015,
2 TRIM 2015,12,EXTERNA D,SELLOS,RIPOLI JORGE,BEITONE VANESA,30500846301,ABBOTT LABORATORIES ARG SA,14/01/2015,
3 TRIM 2015,14,EXTERNA D,SELLOS,RIPOLI JORGE,BEITONE VANESA,30500846301,ABBOTT LABORATORIES ARG SA,14/01/2015,
1 TRIM 2015,13,CONCURSOS Y QUIEBRAS,,AGUERO MONICA,GIAMMARCHE DANIEL,30708302526,ABC VIAL SRL,24/10/2014,
3 TRIM 2014,8,CONCURSOS Y QUIEBRAS,,AGUERO MONICA,GIAMMARCHE DANIEL,30708302526,ABC VIAL SRL,24/10/2014,
4 TRIM 2014,8,CONCURSOS Y QUIEBRAS,,AGUERO MONICA,GIAMMARCHE DANIEL,30708302526,ABC VIAL SRL,24/10/2014,
1 TRIM 2014,10,EXTERNA B,V,BODNER ALEJANDRA,RIVERO CLAUDIA,30646489675,ABD SA,28/04/2014,
1 TRIM 2015,14,EXTERNA B,V,BODNER ALEJANDRA,RIVERO CLAUDIA,30646489675,ABD SA,28/04/2014,
2 TRIM 2014,8,EXTERNA B,V,BODNER ALEJANDRA,RIVERO CLAUDIA,30646489675,ABD SA,28/04/2014,
2 TRIM 2015,13,EXTERNA B,V,BODNER ALEJANDRA,RIVERO CLAUDIA,30646489675,ABD SA,28/04/2014,
3 TRIM 2014,9,EXTERNA B,V,BODNER ALEJANDRA,RIVERO CLAUDIA,30646489675,ABD SA,28/04/2014,
3 TRIM 2015,15,EXTERNA B,V,BODNER ALEJANDRA,RIVERO CLAUDIA,30646489675,ABD SA,28/04/2014,
4 TRIM 2014,9,EXTERNA B,V,BODNER ALEJANDRA,RIVERO CLAUDIA,30646489675,ABD SA,28/04/2014,
2 TRIM 2015,14,EXTERNA F,B,ANDREU DANIEL,POLICANO ANTONIO,20937426446,ABENIA PEREYRA,16/06/2015,
3 TRIM 2015,16,EXTERNA F,B,ANDREU DANIEL,POLICANO ANTONIO,20937426446,ABENIA PEREYRA,16/06/2015,
1 TRIM 2014,11,EXTERNA C,VII,LENAGHAN OSVALDO,BREPPE MARISA,30708723521,ABERTURAS LIBERTADOR SA,17/09/2013,
2 TRIM 2014,9,EXTERNA C,VII,LENAGHAN OSVALDO,BREPPE MARISA,30708723521,ABERTURAS LIBERTADOR SA,17/09/2013,
1 TRIM 2014,12,EXTERNA C,VII,PEREZ MONICA,BIANCHI MARIA FERNANDA,30694798582,ABM CONSTRUCTORA SA,10/01/2014,
1 TRIM 2015,15,EXTERNA C,VII,PEREZ MONICA,BIANCHI MARIA FERNANDA,30694798582,ABM CONSTRUCTORA SA,10/01/2014,
2 TRIM 2014,10,EXTERNA C,VII,PEREZ MONICA,BIANCHI MARIA FERNANDA,30694798582,ABM CONSTRUCTORA SA,10/01/2014,
3 TRIM 2014,10,EXTERNA C,VII,PEREZ MONICA,BIANCHI MARIA FERNANDA,30694798582,ABM CONSTRUCTORA SA,10/01/2014,
4 TRIM 2014,10,EXTERNA C,VII,PEREZ MONICA,BIANCHI MARIA FERNANDA,30694798582,ABM CONSTRUCTORA SA,10/01/2014,
3 TRIM 2014,11,OPERATIVOS,A,CAPUTO CARLOS,BARBAGELATA RODOLFO,20178999061,ABOUD MOISES JOSE,30/09/2014,
4 TRIM 2014,11,OPERATIVOS,A,CAPUTO CARLOS,BARBAGELATA RODOLFO,20178999061,ABOUD MOISES JOSE,30/09/2014,
1 TRIM 2014,13,EXTERNA D,I0,LOPEZ GUSTAVO,PEREZ PATRICIA,33707634389,ABRIL MED SA,13/03/2014,
1 TRIM 2015,16,EXTERNA D,I0,LOPEZ GUSTAVO,RUBIO MARCELO,33707634389,ABRIL MED SA,13/03/2014,
2 TRIM 2014,11,EXTERNA D,I0,LOPEZ GUSTAVO,PEREZ PATRICIA,33707634389,ABRIL MED SA,13/03/2014,
3 TRIM 2014,12,EXTERNA D,I0,LOPEZ GUSTAVO,PEREZ PATRICIA,33707634389,ABRIL MED SA,13/03/2014,
4 TRIM 2014,12,EXTERNA D,I0,LOPEZ GUSTAVO,RUBIO MARCELO,33707634389,ABRIL MED SA,13/03/2014,
1 TRIM 2014,14,EXTERNA B,VI,ABBEDUTO JUAN JOSE,FIORENZA GUSTAVO,30708938935,ABUCA SA,08/01/2013,14/01/2012
1 TRIM 2015,17,EXTERNA B,VI,ABBEDUTO JUAN JOSE,FIORENZA GUSTAVO,30708938935,ABUCA SA,08/01/2013,40922
2 TRIM 2014,12,EXTERNA B,VI,ABBEDUTO JUAN JOSE,FIORENZA GUSTAVO,30708938935,ABUCA SA,08/01/2013,14/01/2012
2 TRIM 2015,15,EXTERNA B,VI,ABBEDUTO JUAN JOSE,FIORENZA GUSTAVO,30708938935,ABUCA SA,08/01/2013,14/01/2012
3 TRIM 2014,13,EXTERNA B,VI,ABBEDUTO JUAN JOSE,FIORENZA GUSTAVO,30708938935,ABUCA SA,08/01/2013,14/01/2012
3 TRIM 2015,17,EXTERNA B,VI,ABBEDUTO JUAN JOSE,FIORENZA GUSTAVO,30708938935,ABUCA SA,08/01/2013,08/01/2013
4 TRIM 2014,13,EXTERNA B,VI,ABBEDUTO JUAN JOSE,FIORENZA GUSTAVO,30708938935,ABUCA SA,14/01/2013,14/01/2012
2 TRIM 2015,16,EXTERNA A,I,NOVOA NANCY,GONZALEZ CLAUDIA,30712349626,ABYMES SA,24/06/2015,
3 TRIM 2015,18,EXTERNA A,I,NOVOA NANCY,GONZALEZ CLAUDIA,30712349626,ABYMES SA,24/06/2015,
3 TRIM 2015,19,CONCURSOS Y QUIEBRAS,,IGLESIAS LILIANA,ATANIYA DIEGO,30708628227,AC ANDRE CARGAS SRL,22/07/2015,
1 TRIM 2015,18,EXTERNA A,II,REIST MARTA PATRICIA,LEGUIZAMON EMANUEL,30711181632,AC BLANCO SA,26/08/2014,
2 TRIM 2015,17,EXTERNA A,II,REIST MARTA PATRICIA,LEGUIZAMON EMANUEL,30711181632,AC BLANCO SA,26/08/2014,
3 TRIM 2014,14,EXTERNA A,II,REIST MARTA PATRICIA,LEGUIZAMON EMANUEL,30711181632,AC BLANCO SA,26/08/2014,
4 TRIM 2014,14,EXTERNA A,II,REIST MARTA PATRICIA,LEGUIZAMON EMANUEL,30711181632,AC BLANCO SA,26/08/2014,
1 TRIM 2014,15,EXTERNA B,VI,MOYA JULIETA ANDREA,FIORENZA GUSTAVO,30643475673,AC METAL SA,06/01/2014,
1 TRIM 2015,19,EXTERNA B,VI,MOYA JULIETA ANDREA,FIORENZA GUSTAVO,30643475673,AC METAL SA,06/01/2014,
2 TRIM 2014,13,EXTERNA B,VI,MOYA JULIETA ANDREA,FIORENZA GUSTAVO,30643475673,AC METAL SA,06/01/2014,
2 TRIM 2015,18,EXTERNA B,VI,MOYA JULIETA ANDREA,FIORENZA GUSTAVO,30643475673,AC METAL SA,06/01/2014,
3 TRIM 2014,15,EXTERNA B,VI,MOYA JULIETA ANDREA,FIORENZA GUSTAVO,30643475673,AC METAL SA,06/01/2014,
3 TRIM 2015,20,EXTERNA B,VI,MOYA JULIETA ANDREA,FIORENZA GUSTAVO,30643475673,AC METAL SA,06/01/2014,
4 TRIM 2014,15,EXTERNA B,VI,MOYA JULIETA ANDREA,FIORENZA GUSTAVO,30643475673,AC METAL SA,06/01/2014,
2 TRIM 2014,14,CONCURSOS Y QUIEBRAS,,RODRIGUEZ ROBERTO,GUMUCIO HUMBERTO,30710577745,ACAYU SRL,08/07/2014,
1 TRIM 2014,16,EXTERNA D,SELLOS,NOVOA MARIANA,ALFARO NADIA,30695515452,ACCESO DIRECTO SA,09/01/2014,
2 TRIM 2014,15,EXTERNA D,SELLOS,NOVOA MARIANA,ALFARO NADIA,30695515452,ACCESO DIRECTO SA,09/01/2014,
1 TRIM 2015,20,CONCURSOS Y QUIEBRAS,,"MALAGUEO, ELDA A.","POLICANO, ANTONIO",30710083610,ACCION PROMOCIONAL SRL,13/03/2015,
2 TRIM 2015,19,CONCURSOS Y QUIEBRAS,,"MALAGUEO, ELDA A.",LENGARD CRISTINA,30710083610,ACCION PROMOCIONAL SRL,13/03/2015,
3 TRIM 2015,21,EXTERNA C,VIII,PEREIRA VIVIANA,CISNERO DIEGO,30712255036,ACE AMERICAN INSURANCE,18/09/2015,
1 TRIM 2014,17,EXTERNA B,IV,COHEN LEONOR ,SPERONI MARCELO,30500016260,ACE SEGUROS SA,15/01/2014,
1 TRIM 2015,21,EXTERNA B,IV,COHEN LEONOR ,SPERONI MARCELO,30500016260,ACE SEGUROS SA,15/01/2014,
2 TRIM 2014,16,EXTERNA B,IV,COHEN LEONOR ,SPERONI MARCELO,30500016260,ACE SEGUROS SA,15/01/2014,
2 TRIM 2015,20,EXTERNA B,IV,COHEN LEONOR ,SPERONI MARCELO,30500016260,ACE SEGUROS SA,15/01/2014,
3 TRIM 2014,16,EXTERNA B,IV,COHEN LEONOR ,SPERONI MARCELO,30500016260,ACE SEGUROS SA,15/01/2014,
4 TRIM 2014,16,EXTERNA B,IV,COHEN LEONOR ,SPERONI MARCELO,30500016260,ACE SEGUROS SA,15/01/2014,
3 TRIM 2015,22,EXTERNA C,VIII,ROJAS LORENA,GONIONDZKY SILVINA,30691152177,ACECO ARGENTINA SA,17/09/2015,
3 TRIM 2014,17,EXTERNA C,IX,VEGA DANIEL,COLUCCIO JORGE,33688512889,ACEGAME SA,23/09/2013,41893
1 TRIM 2014,18,EXTERNA A,III,DITURI ADRIANA,ANTONELLI MARTA,30711633843,ACEITERA DEL SUR SA,30/09/2013,
1 TRIM 2015,22,EXTERNA A,III,DITURI ADRIANA,ANTONELLI MARTA,30711633843,ACEITERA DEL SUR SA,30/09/2013,
2 TRIM 2014,17,EXTERNA A,III,DITURI ADRIANA,ANTONELLI MARTA,30711633843,ACEITERA DEL SUR SA,30/09/2013,
2 TRIM 2015,21,EXTERNA A,III,DITURI ADRIANA,ANTONELLI MARTA,30711633843,ACEITERA DEL SUR SA,30/09/2013,
3 TRIM 2014,18,EXTERNA A,III,DITURI ADRIANA,ANTONELLI MARTA,30711633843,ACEITERA DEL SUR SA,30/09/2013,
4 TRIM 2014,17,EXTERNA A,III,DITURI ADRIANA,ANTONELLI MARTA,30711633843,ACEITERA DEL SUR SA,30/09/2013,
2 TRIM 2015,22,CONCURSOS Y QUIEBRAS,,MARI CRISTIAN,ATANIYA DIEGO,30624628086,ACERBELT SA,28-5-145,
1 TRIM 2015,23,EXTERNA D,I0,RYSZNIVKIER JESICA,CEPURBEDA JORGE,30708733659,ACERCAR VIAJES SRL,25/09/2014,
2 TRIM 2015,23,EXTERNA D,I0,RYSZNIVKIER JESICA,CEPURBEDA JORGE,30708733659,ACERCAR VIAJES SRL,25/09/2014,
3 TRIM 2014,19,EXTERNA D,I0,RYSZNIVKIER JESICA,CEPURBEDA JORGE,30708733659,ACERCAR VIAJES SRL,25/09/2014,
4 TRIM 2014,18,EXTERNA D,I0,RYSZNIVKIER JESICA,CEPURBEDA JORGE,30708733659,ACERCAR VIAJES SRL,25/09/2014,
1 TRIM 2014,19,EXTERNA D,I0,ZALAZAR PAOLA,MILMAN MARIANO,30708894032,ACEROBUENO SA,25/07/2011,24/05/2012
1 TRIM 2015,24,EXTERNA D,I0,CASTILLO CAROLINA,MILMAN MARIANO,30708894032,ACEROBUENO SA,25/07/2011,02/12/2014
2 TRIM 2014,18,EXTERNA D,I0,ZALAZAR PAOLA,MILMAN MARIANO,30708894032,ACEROBUENO SA,25/07/2011,24/05/2012
2 TRIM 2015,24,EXTERNA D,I0,CASTILLO CAROLINA,MILMAN MARIANO,30708894032,ACEROBUENO SA,25/07/2011,02/12/2014
3 TRIM 2014,20,EXTERNA D,I0,ZALAZAR PAOLA,MILMAN MARIANO,30708894032,ACEROBUENO SA,25/07/2011,24/05/2012
4 TRIM 2014,19,EXTERNA D,I0,CASTILLO CAROLINA,MILMAN MARIANO,30708894032,ACEROBUENO SA,25/07/2011,02/12/2014
2 TRIM 2015,25,OPERATIVOS,A,SANTORO NESTOR,BARBAGELATA RODOLFO,30501887214,ACEROS ANGELETTI SA,10/06/2015,
3 TRIM 2015,23,OPERATIVOS,A,SANTORO NESTOR,BARBAGELATA RODOLFO,30501887214,ACEROS ANGELETTI SA,10/06/2015,
1 TRIM 2014,20,CONCURSOS Y QUIEBRAS,,AQUINO NORBERTO,ATANIYA DIEGO,30708739746,ACEROS SUD  SA,21/05/2014,
2 TRIM 2014,19,CONCURSOS Y QUIEBRAS,,AQUINO NORBERTO,ATANIYA DIEGO,30708739746,ACEROS SUD  SA,21/05/2014,
1 TRIM 2015,25,EXTERNA F,B,CASSIS CLAUDIA,PINTO JORGE,27003824484,ACEVEDO TOLINDA,29/12/2014,
2 TRIM 2015,26,EXTERNA F,B,CASSIS CLAUDIA,PINTO JORGE,27003824484,ACEVEDO TOLINDA,29/12/2014,
3 TRIM 2015,24,EXTERNA F,B,CASSIS CLAUDIA,PINTO JORGE,27003824484,ACEVEDO TOLINDA,29/12/2014,
1 TRIM 2014,21,CONCURSOS Y QUIEBRAS,,AQUINO NORBERTO,ATANIYA DIEGO,30695574688,ACO COLOR SA,13/05/2014,
2 TRIM 2014,20,CONCURSOS Y QUIEBRAS,,AQUINO NORBERTO,ATANIYA DIEGO,30695574688,ACO COLOR SA,13/05/2014,
3 TRIM 2014,21,CONCURSOS Y QUIEBRAS,,AQUINO NORBERTO,ATANIYA DIEGO,30695574688,ACO COLOR SA,12/05/2014,
4 TRIM 2014,20,CONCURSOS Y QUIEBRAS,,AQUINO NORBERTO,ATANIYA DIEGO,30695574688,ACO COLOR SA,12/05/2014,
1 TRIM 2014,22,EXTERNA C,VIII,LOPEZ RICARDO,CISNERO DIEGO,30504996588,ACOPLADOS SALTO SA,25/04/2013,
1 TRIM 2015,26,EXTERNA C,VIII,LOPEZ RICARDO,CISNERO DIEGO,30504996588,ACOPLADOS SALTO SA,25/04/2013,
2 TRIM 2014,21,EXTERNA C,VIII,LOPEZ RICARDO,CISNERO DIEGO,30504996588,ACOPLADOS SALTO SA,25/04/2013,
2 TRIM 2015,27,EXTERNA D,I0,LOPEZ RICARDO,PEREZ PATRICIA,30504996588,ACOPLADOS SALTO SA,25/04/2013,
3 TRIM 2014,22,EXTERNA C,VIII,LOPEZ RICARDO,CISNERO DIEGO,30504996588,ACOPLADOS SALTO SA,25/04/2013,
3 TRIM 2015,25,EXTERNA C,VIII,PEREIRA VIVIANA,CISNERO DIEGO,30504996588,ACOPLADOS SALTO SA,25/04/2013,20/08/2015
4 TRIM 2014,21,EXTERNA C,VIII,LOPEZ RICARDO,CISNERO DIEGO,30504996588,ACOPLADOS SALTO SA,25/04/2013,
1 TRIM 2015,27,EXTERNA A,III,FERRETTI CLAUDIA,MARTIN CAROLINA,30709490644,ACP SEGURIDAD SA,16/10/2014,
2 TRIM 2015,28,EXTERNA A,III,FERRETTI CLAUDIA,MARTIN CAROLINA,30709490644,ACP SEGURIDAD SA,16/10/2014,
3 TRIM 2014,23,EXTERNA A,III,FERRETTI CLAUDIA,MARTIN CAROLINA,30709490644,ACP SEGURIDAD SA,16/10/2014,
3 TRIM 2015,26,EXTERNA A,III,FERRETTI CLAUDIA,MARTIN CAROLINA,30709490644,ACP SEGURIDAD SA,16/10/2014,
4 TRIM 2014,22,EXTERNA A,III,FERRETTI CLAUDIA,MARTIN CAROLINA,30709490644,ACP SEGURIDAD SA,16/10/2014,
1 TRIM 2014,23,EXTERNA B,VI,PACHECO MABEL,GARCIA STELLA MARIS,30708159529,ACUARELA ULTRA MODA SA,,15/05/2014
1 TRIM 2015,28,EXTERNA B,VI,PACHECO MABEL,GARCIA STELLA MARIS,30708159529,ACUARELA ULTRA MODA SA,N/L,
2 TRIM 2014,22,EXTERNA B,VI,PACHECO MABEL,GARCIA STELLA MARIS,30708159529,ACUARELA ULTRA MODA SA,N/L,16/05/2014
1 TRIM 2015,29,NORMAS Y MANUALES DE FISCALIZACION,EQUIPO A,"BUTTAFUOCO, CESAR",CEREZO MARCELA,30708766360,ACUARIO EVENTOS Y PROMOCIONES SA,28/03/2014,
2 TRIM 2014,23,NORMAS Y MANUALES DE FISCALIZACION,EQUIPO A,"BUTTAFUOCO, CESAR",CEREZO MARCELA,30708766360,ACUARIO EVENTOS Y PROMOCIONES SA,28/03/2014,
2 TRIM 2015,29,NORMAS Y MANUALES DE FISCALIZACION,EQUIPO A,"BUTTAFUOCO, CESAR",CEREZO MARCELA,30708766360,ACUARIO EVENTOS Y PROMOCIONES SA,28/03/2014,
3 TRIM 2014,24,NORMAS Y MANUALES DE FISCALIZACION,EQUIPO A,"BUTTAFUOCO, CESAR",CEREZO MARCELA,30708766360,ACUARIO EVENTOS Y PROMOCIONES SA,28/03/2014,
4 TRIM 2014,23,NORMAS Y MANUALES DE FISCALIZACION,EQUIPO A,"BUTTAFUOCO, CESAR",CEREZO MARCELA,30708766360,ACUARIO EVENTOS Y PROMOCIONES SA,28/03/2014,
1 TRIM 2015,30,EXTERNA A,III,LIPARI GLADYS,PETRELLA ANTONIO,30711212856,ACUAVIT SA,21/11/2014,
2 TRIM 2015,30,EXTERNA A,III,LIPARI GLADYS,PETRELLA ANTONIO,30711212856,ACUAVIT SA,21/11/2014,
3 TRIM 2015,27,EXTERNA A,III,LIPARI GLADYS,PETRELLA ANTONIO,30711212856,ACUAVIT SA,21/11/2014,
4 TRIM 2014,24,EXTERNA A,III,LIPARI GLADYS,PETRELLA ANTONIO,30711212856,ACUAVIT SA,21/11/2014,
1 TRIM 2015,31,PUBLICIDAD REG SIMPL Y OPERATIVOS,A,FERREIRO NESTOR,ALVAREZ DANIEL,27940848399,ACU?A CUADROS YOLANDA,27/10/2014,
3 TRIM 2014,25,PUBLICIDAD REG SIMPL Y OPERATIVOS,A,FERREIRO NESTOR,ALVAREZ DANIEL,27940848399,ACU?A CUADROS YOLANDA,27/10/2014,
4 TRIM 2014,25,PUBLICIDAD REG SIMPL Y OPERATIVOS,A,FERREIRO NESTOR,ALVAREZ DANIEL,27940848399,ACU?A CUADROS YOLANDA,27/10/2014,
1 TRIM 2014,24,EXTERNA C,VII,SANTOS ANALIA,MARTINEZ MARIANA,27224195759,ADAMS MARIA ALEJANDRA,30/04/2014,
